Оф. Краткое наименование приюта,"Подчинение (например Префектура ЮВАО или ""ГБУ ""Автомобильные дороги»)",Адрес приюта,Телефон приюта
Приют «Щербинка»,Префектура ЮЗАО (ГБУ «Автомобильные дороги ЮЗАО»),"г.Москва,",
"ул.Брусилова, вл.32, стр.1-5",,,
Приют «Некрасовка»,Префектура ЮВАО (ГБУ «Автомобильные дороги ЮВАО»),"г.Москва, ул.2-я Вольская, вл.17 стр.3",#ERROR!
Приют «Печатники»,Префектура ЮВАО (ГБУ «Автомобильные дороги ЮВАО»),"г.Москва, Проектируемый проезд №5112, вл.2\1",
Приют «Солнцево»,Префектура ЗАО (ГБУ «Автомобильные дороги ЗАО»),"г.Москва, ул. Родниковая, вл.26",
Приют «GETDOG»,Префектура САО (ГБУ «Автомобильные дороги САО»),"г.Москва, Машкинское шоссе, вл. 4",
Приют «Молжаниново»,Префектура САО (ГБУ «Автомобильные дороги САО»),"г.Москва, Проектируемый проезд, 727",
Приют «Искра»,Префектура СВАО (ГБУ «Автомобильные дороги СВАО»),"г.Москва, ул.Искры, вл. 23А",
Приют «Красная сосна»,Префектура СВАО (ГБУ «Автомобильные дороги СВАО»),"г.Москва, ул.Красной Сосны, вл. 30, стр.4",
Приют «Дубовая роща»,Префектура СВАО (ГБУ «Автомобильные дороги СВАО»),"г.Москва, проезд Дубовой Рощи,             вл.23-25",
Кожуховский приют,Префектура ВАО (ГБУ «Автомобильные дороги ВАО»),"г.Москва,",
"ул. Пехорская 1Б, с.6",,,
Приют «Бирюлево»,Префектура ЮАО (ГБУ «Автомобильные дороги ЮАО»),"г.Москва,",
"Востряковский пр-д,",,,
вл.10 А,,,
Приют «Зеленоград»,ДЖКХ города Москвы (ГБУ «Доринвест»),"г.Москва, Зеленоград, Фирсановское ш., вл.5А",
Приют «Зоорассвет»,ДЖКХ города Москвы (ГБУ «Доринвест»),"г.Москва, ул.Рассветная аллея, влд.10",
